,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
1,231.15804742979344,-15.258122250350299,-21.937895465176616,10.332035130014498,-15.80850969874817,-0.684242559802091,-3.3880113642276712,-1.6322895276977731,-0.08344605782446192,1.9387816112314533,Case
10,3.967531666270782,4.90260070846013,-4.24886524793393,-2.71396600784216,-1.435925265368531,1.4062490743338978,0.9514118607247439,-2.8828004264830343,3.4552137510287104,-1.2293145307238873,Case
100,-11.337213782347508,-2.0605864613104985,-2.7306106347997106,-1.6517013738992883,-3.3007626116517614,0.9922400451972804,-2.9847076941808215,-2.5382095216780565,0.16973974437541672,-4.016630098489338,Case
105,24.150935446815797,17.63379518107547,3.76604480352313,-5.202776375336932,1.2669147152238338,-2.9393445047308546,-4.804616802407153,-6.009785810977234,-1.807397130074203,-4.0099245443673475,Case
106,-5.360499780837059,-3.7605861370700917,-3.490295779880431,-1.6991208541953888,1.9078110067703824,-2.651848597666058,-1.1655358690343987,-4.023547521700603,-2.552570071010218,-3.042982683879764,Case
110,-2.5143357693905872,-0.919251922653339,3.5352514096864804,-1.7692864670557271,-2.218869908763104,3.1283019306445863,0.011636092098362284,-0.3925712263224283,-0.7402248517648448,1.7641223323230792,Case
113,22.116230036835404,-12.817012308978178,18.194153330652505,-7.153683983763274,0.8282549478339671,1.7671091562547112,1.22353654695451,1.4363759804909797,-1.8824355660300294,1.1712596416147616,Case
114,15.575511533080217,-0.6908989146855865,13.088799458736645,-8.488569544387975,1.5369862864876889,-1.0430811955149055,-2.923521602568575,-5.897091256343524,0.4543041489319802,-0.9490065596822411,Case
115,35.07292776845961,-13.109156572122115,1.6608021698212347,-11.133950479812938,10.370166368576918,0.850038573116342,8.895878143182635,-4.7068094421157785,-1.4105677891968595,-2.8462594889756687,Case
116,-9.510184974981978,-2.9178036115242083,-8.05325011858487,-6.3815020379757765,-0.8422260296069941,3.736145196425313,-1.5666579062592294,-1.9613281973881558,1.536363594381986,0.4894990952081026,Case
118,-8.673343210257432,-1.3624351918076871,-3.1276689966537345,-1.0801905114895443,0.1124596722366528,1.325698649436238,1.168968556390715,1.228131125033419,-0.4711301107615206,1.0567311588113386,Case
120,-12.066000612747878,-0.7382442425479366,-4.847588340585344,2.6743976381975725,-1.7219414991331963,-0.5921661767210292,0.8901666508877792,-3.4029492168926616,-2.1795945093536044,0.5140706033373783,Case
122,-2.055996957397416,-1.1130957167664137,0.8730884414003053,-0.6370562072181782,1.31127647919474,3.0185836127000365,-1.539362026173057,-1.7456731338305551,-1.1919023003861742,-0.5633045376580468,Case
126,9.801337163529054,5.995068033402346,0.5983551330940003,3.1927892381730794,6.0557683483292335,0.5406403393741704,-1.0811101103186889,1.5286312609101804,-7.769928541048893,2.534755168023541,Case
131,-7.5784910819731595,2.299178452629763,-6.2378374194646335,-4.080683203488324,-1.508908076962825,3.2567667122525776,1.303214806534779,-0.058810693583988875,1.8580019460332518,0.5908206057210901,Case
132,-4.129304217740306,-7.4386292233646,-3.5736721108191096,-1.1246752311940633,2.4997941320049284,-2.2353734091269097,1.957171280956783,0.7268569970593126,-2.2017171596838523,-3.2683598179108087,Case
134,-9.279481202081968,-0.657800201025304,-3.774324789839659,-0.5821600215805198,-2.057016931862342,4.759448993547241,-1.4653237181556185,-0.3570060254131896,1.507638274875482,0.28961475440243284,Case
138,-9.857931248696845,-2.04818692894075,-6.148702825617255,-1.638754821386316,-1.132832365683764,-1.7332689401926031,-2.3236019017542295,1.8664133266098653,2.227702526257382,-4.262227609176723,Case
139,28.46245533003498,26.193038954572412,7.7908590667441535,-9.410904790019815,-19.880130302968947,-12.179714347692636,18.48444657459581,-0.7616874238381247,4.696329824606257,-3.5809570887499014,Case
141,-8.332477962416544,-0.15720191978562092,0.2760060839859917,0.2753203813673899,-3.269532949327824,2.9327099257582283,-1.8538936427648085,-2.0198713922239215,-0.41511573827621767,-2.6057685823117,Case
142,17.30144148249326,1.8206387884071644,1.6222950250174262,-3.3110406619608868,0.4652571672209623,2.357881768464574,8.570646254421572,3.1858515859210255,-1.9707320596155724,-5.663748371051867,Case
144,3.9458609415883728,3.5476118620670225,0.5523901858546189,1.660850277329157,3.022152505047837,5.46295168657878,2.8309916647972684,3.305282361807564,-0.5524260980273478,-0.5480810361371274,Case
145,-0.709828759300881,6.358669157434686,0.3179151438508884,-5.442645849254857,-3.059140892549698,1.7418412423121128,2.498463745878435,-3.9287753516875585,0.1360601192160983,-0.4541036583229805,Case
148,-7.492746676465366,-1.6798522129158704,-1.3309779806973725,0.3025329263616188,-2.284722622208944,3.233317792599756,0.7478128008423026,1.7666758078093945,-1.720964924198786,-0.9938491803947272,Case
15,12.31587909064828,7.988728391639553,3.00105397153055,6.709410166705775,3.842867197587435,0.29212025174908135,4.244412303648727,-1.8936041955059726,2.8804694804232036,-1.758054086794995,Case
152,2.646881519074914,-1.7592930203716006,2.9522357164377158,-4.174952903941614,-0.2308546115581921,2.072074887236305,0.13241680457069285,-2.966598181002265,0.4563293684123815,-1.9202375291388674,Case
153,-3.869336934581839,3.427069011730729,-2.7817742882820666,-0.5706579930509443,-2.4421135839789163,10.079886884826509,2.3034403919918787,-0.4341902628176682,-0.355027516984884,-0.34826728730187834,Case
155,-10.921578553780893,-1.345683032626785,-7.717082388626849,-2.7716263342798015,-1.0854871117922902,2.0827492114663215,0.11368227766204839,-1.7074210144941342,-0.9489323338024415,-2.725116587593194,Case
157,-1.5039354429707341,-5.457843711273353,-4.789551448936269,-3.945661786529081,1.8293931642966328,2.8284662038779342,1.8145655583932576,1.0713307877653162,-2.3860985479274954,-2.457569899664289,Case
161,-7.74527964504903,-4.774517364187645,1.4569912518412955,-0.9558458224483187,-5.691538072856077,2.186466405209496,-4.214852277731983,5.170076818995708,-2.9133609781478165,-2.2984895513403507,Case
162,3.78565633705153,2.902374902864077,3.710270725122859,-1.5561535149685812,-0.16195506919763744,-3.0743235312489974,-0.10895574368031365,0.30945724401839597,-2.2350736307601244,-2.940222110379345,Case
163,-6.862676364703521,-3.0608895061,-5.41265209577537,-0.4513174628430743,1.893161392668508,-2.503685443015395,-0.5479854372132454,-1.7426327690960521,-0.9968748122900921,-1.0060003283455066,Case
166,-6.67590486141085,-0.5792105114600877,3.146506371312506,4.6792239824459685,-3.0699235819215294,-0.5046349337761871,-3.361312865742986,-1.7447224021961063,3.7049874171607162,-2.415175919556262,Case
167,14.107683491874864,-5.628764318640962,3.5759396897386955,-8.371017838185072,5.03924786986165,0.8843341009537374,-0.6247249522116523,-0.9333684964561577,1.5419774196441054,-0.138292312629513,Case
168,-7.713195011482507,-1.960284827317337,-1.0145764992432333,3.235437585335288,-2.2521885734674894,2.907093395658647,-3.755756354973577,-0.947592760879933,0.8224122127547258,-1.2184836488290822,Case
