feature,group1_mean,group2_mean,group1_std,group2_std,fold_change,statistic,p_value,neg_log10_p,significant,n_group1,n_group2,p_adjusted,significant_adj
TAG51:0-FA17:0,0.8385742268041236,0.513921649484536,1.1563980688325524,0.4058440184836011,0.7063900509705406,2.6090036781554335,0.010242491961602995,1.9895943682127828,True,97,97,0.09639219424173662,False
TAG53:0-FA16:0,0.8688222222222223,0.6047149999999999,0.9440346957861626,0.35617402152755495,0.5228056311747586,2.606043345225678,0.010271033107147842,1.9883858708946405,True,99,100,0.09639219424173662,False
TAG56:5-FA22:5,0.9045282828282828,0.67411,0.8154308023846253,0.3338765066864867,0.4241815814732199,2.603775353801486,0.01029532607156957,1.9873598939375665,True,99,100,0.09639219424173662,False
TAG54:6-FA22:5,1.3011353535353536,1.0045849999999998,0.9930657832489358,0.554417366100065,0.3731714075638399,2.597404870487167,0.010307793289910524,1.9868342992743488,True,99,100,0.09639219424173662,False
TAG52:1-FA20:1,1.4149656565656568,0.8332949494949495,2.1535613331751824,0.5284304337768398,0.7638678886671533,2.6100078271724296,0.010317639559599375,1.9864196480086769,True,99,99,0.09639219424173662,False
TAG58:6-FA18:1,0.4508463157894738,0.33670700000000003,0.40754866249334193,0.1340177775445474,0.4211420069357066,2.599461346163678,0.010581001381236745,1.9754732289203372,True,95,100,0.09674097019973772,False
TAG52:1-FA16:1,0.7945888888888889,0.5417020833333334,0.9118616618684477,0.3295730526730691,0.5527089719219573,2.59042963613644,0.010735047651402645,1.9691960234498758,True,99,96,0.09674097019973772,False
TAG54:6-FA20:4,10.701485858585857,8.150643,8.896835770666229,4.177515920388817,0.3928253401489249,2.584600333859215,0.010780518673284556,1.9673603438314216,True,99,100,0.09674097019973772,False
TAG54:1-FA18:0,7.915818181818182,4.419106,13.13902787184094,2.919915486732554,0.840983937028071,2.585524132459634,0.011060922881244458,1.9562086356433686,True,99,100,0.09796817409102235,False
TAG49:1-FA15:0,4.315346464646465,2.8984829999999993,5.129654393941994,2.023248039890364,0.574178367517036,2.5583040121039464,0.011687823242223495,1.9322663649645395,True,99,100,0.09949907021651846,False
LPC(18:2),28.598156565656566,31.986247,8.97971407502581,9.80245110704208,-0.16152957448032354,-2.5427845529726745,0.011770418041112427,1.9292081123711569,True,99,100,0.09949907021651846,False
TAG60:10-FA22:5,0.21929677419354834,0.16932380952380952,0.08470549956120899,0.05304805278954077,0.3730997184895366,2.6140689874633787,0.011805225784719594,1.9279257022641954,True,31,21,0.09949907021651846,False
TAG51:0-FA18:0,0.6858275510204082,0.41782872340425525,0.9817267928660469,0.3388940706202731,0.7149341747118642,2.548746762167243,0.012065501980609033,1.9184546047230027,True,98,94,0.09949907021651846,False
TAG48:1-FA18:1,25.995917171717178,16.385755,35.56841638545911,12.040426443187679,0.6658429071520992,2.5477051772165686,0.01210705658175465,1.9169614279286318,True,99,100,0.09949907021651846,False
TAG54:4-FA16:0,9.217933333333333,6.803321,8.872221840459499,3.2997736542606257,0.43820417201986805,2.539588438660422,0.012330434704389716,1.9090216122615415,True,99,100,0.09949907021651846,False
TAG56:6-FA16:0,2.550149494949495,1.9567890000000003,2.152962101118313,0.8900510702513399,0.3820936226084822,2.536039548784682,0.012392514116756723,1.9068405777021291,True,99,100,0.09949907021651846,False
TAG52:1-FA16:0,61.5004696969697,41.550721,74.49111376059406,24.645527300790278,0.5657239173928655,2.5310953134317153,0.012675043626824442,1.8970505371736,True,99,100,0.09949907021651846,False
TAG58:6-FA22:5,0.5079795918367347,0.36360000000000003,0.5422580454236118,0.16090079273279173,0.482418326842788,2.5279413389818037,0.012844857710691104,1.8912707022815554,True,98,99,0.09949907021651846,False
TAG51:0-FA16:0,1.3064939393939394,0.7472509999999999,2.1160379238248392,0.6151471697927582,0.8060355963019081,2.526079639574364,0.01290322648200032,1.8893016797688125,True,99,100,0.09949907021651846,False
TAG50:2-FA16:0,194.8235434343434,128.230369,250.3809380511848,80.46988116343098,0.6034300521161502,2.520602286774042,0.013052319799103948,1.884312293964404,True,99,100,0.09949907021651846,False
TAG52:7-FA16:0,0.9817510204081633,0.5648163265306122,1.5736488522391474,0.44872343506217216,0.7975753899203721,2.522308558181386,0.01305507691047959,1.8842205653041928,True,98,98,0.09949907021651846,False
TAG49:1-FA16:0,7.097208080808081,4.814614,8.258800350568253,3.6866184863151212,0.5598314657891396,2.513237583748669,0.013136479277241974,1.8815210149395878,True,99,100,0.09949907021651846,False
