,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,231.15804742979327,-15.258122249835035,-21.93789546528364,10.332035158416723,-15.808509623537706,-0.6842446451264801,-3.3880157781487985,-1.6322839662618032,-0.08341469221110855,1.9379730357350584
10,3.967531666270826,4.902600707617301,-4.2488652476559166,-2.713966079332964,-1.4359261523377636,1.4062498357763726,0.9514450106447453,-2.8828075502439527,3.454926067911783,-1.2279587840443003
100,-11.337213782347522,-2.0605864614089286,-2.730610634791283,-1.6517013556373208,-3.3007625634807396,0.9922403968892535,-2.9847150672452187,-2.5382562874424957,0.16986997347114546,-4.017199767923832
105,24.150935446815975,17.633795179275147,3.7660448055133706,-5.202776481855737,1.2669140121911482,-2.9393360790456966,-4.804616236816176,-6.009800134054151,-1.8074476840002636,-4.007422387563794
106,-5.360499780837092,-3.7605861368510674,-3.490295779634598,-1.6991208410978762,1.9078111045689092,-2.6518531775215526,-1.1655390925887414,-4.023554857793584,-2.552490757722852,-3.0433004817276568
110,-2.5143357693905948,-0.9192519233323688,3.535251411009897,-1.769286506013017,-2.218869925067662,3.128303129162946,0.01162427370925407,-0.39259128698913576,-0.7400735846356539,1.765000626973759
113,22.116230036835272,-12.81701230602626,18.194153329726785,-7.1536838484965095,0.8282568560567434,1.7670998241225617,1.2234956686569018,1.4365851260116456,-1.8822168010801235,1.1703912875882254
114,15.575511533080212,-0.6908989131061457,13.088799458734938,-8.488569468416868,1.536987741622059,-1.0430858655401678,-2.923557989581366,-5.896944524658811,0.45466365715414264,-0.9485431432969228
115,35.07292776845948,-13.109156564545524,1.6608021634366192,-11.133950154640607,10.37016891321114,0.849998522371418,8.895888490879344,-4.706471206222184,-1.4108858482270847,-2.8527208824843635
116,-9.51018497498201,-2.9178036095209583,-8.053250120861662,-6.3815019229782495,-0.8422260073260881,3.7361355767336573,-1.5666408974308206,-1.961319250797003,1.5362254316839352,0.4860059809970169
118,-8.673343210257439,-1.3624351909934376,-3.127668997754484,-1.0801904795000663,0.11245920238035959,1.3256914896010887,1.1689931346548676,1.2281152148379877,-0.47136552506515367,1.0547569524767655
120,-12.066000612747885,-0.7382442414239963,-4.847588340715347,2.6743976918000425,-1.721941387816089,-0.592175386322641,0.8901657579295327,-3.402940218096105,-2.179551378231595,0.5122298218535428
122,-2.0559969573974253,-1.1130957181056795,0.8730884421425961,-0.6370562609440535,1.3112761124283903,3.018588879193692,-1.5393586890930253,-1.7457313928031384,-1.191841452262079,-0.562036847200971
126,9.801337163529112,5.995068033475033,0.598355131434008,3.192789299639019,6.0557692589614005,0.5406521592040279,-1.0811362632351322,1.5286286903121515,-7.769681384744892,2.535062773388899
131,-7.578491081973136,2.299178452605894,-6.237837419526027,-4.080683207782872,-1.5089083244534884,3.2567655148315264,1.3032225267242523,-0.058840971272563276,1.8579706673215182,0.5903671293174599
132,-4.129304217740373,-7.438629223716825,-3.573672110859158,-1.1246752499125325,2.4997932644435856,-2.235374634930502,1.9571957068205472,0.7268001176270541,-2.2018884540642216,-3.269032892153832
134,-9.279481202081973,-0.6578002010603741,-3.774324789839179,-0.5821600414511474,-2.0570176306090238,4.7594433121622455,-1.465299062866542,-0.3570735173917422,1.5074745796442823,0.2885551585715576
138,-9.857931248696861,-2.04818693061496,-6.148702825115966,-1.638754873299847,-1.1328319542399892,-1.73325205424337,-2.3236272915417695,1.866394256237992,2.227928228726659,-4.259689654801112
139,28.46245533003522,26.193038951677543,7.790859068454967,-9.410904918225938,-19.880131213204894,-12.179705323011191,18.484457343187053,-0.761855658740624,4.696385324114021,-3.5788985751893247
141,-8.332477962416542,-0.15720192077473888,0.27600608469971194,0.2753203601325957,-3.2695326007504018,2.932720136980527,-1.8539208570717365,-2.0198874263670628,-0.414869610448552,-2.6044759975682843
142,17.301441482493278,1.8206387876121137,1.6222950251015387,-3.311040690476057,0.4652579494016043,2.3578925040992336,8.570627358902017,3.1859150354545416,-1.9705220867913935,-5.660593503890057
144,3.9458609415884034,3.547611860963566,0.5523901864639071,1.6608502355107744,3.022153065842994,5.462969014924792,2.8309571437321916,3.305291216856589,-0.5522288962015754,-0.5458867299567428
145,-0.709828759300822,6.358669156717085,0.31791514378031394,-5.442645882201105,-3.0591413829055063,1.7418450016561569,2.4984763014190086,-3.92882471851378,0.13596110505257758,-0.45387485582164755
148,-7.49274667646538,-1.6798522128692177,-1.3309779801233745,0.30253292728520714,-2.2847222239515252,3.23331916081322,0.7477971367237415,1.7667036923039372,-1.7208398723503178,-0.9932289747568723
15,12.31587909064835,7.98872838930581,3.001053973382835,6.709410037783456,3.842866088433827,0.2921286844123956,4.244430107588476,-1.8936600596352349,2.880320541402433,-1.7555791934519611
152,2.6468815190749013,-1.7592930189856386,2.9522357148082103,-4.174952842598525,-0.23085456673069646,2.0720672827530207,0.1324312057820796,-2.966556062935195,0.4561139258498774,-1.9220801916383032
153,-3.869336934581806,3.427069009849481,-2.7817742862582264,-0.5706580877276957,-2.442113766727721,10.079892819035267,2.303433002109702,-0.43422054389147396,-0.3548323211924154,-0.3452707319158201
155,-10.921578553780906,-1.3456830336141277,-7.71708238772016,-2.771626376257024,-1.0854873646798653,2.0827510389236457,0.11368179742370906,-1.7074630619587083,-0.9488645186694828,-2.7241985932197115
157,-1.5039354429707843,-5.45784371321054,-4.789551447338533,-3.9456618693307037,1.82939306396993,2.828473944537866,1.814556907882042,1.0712644276998924,-2.385887371954088,-2.455009520329274
161,-7.7452796450490755,-4.774517364455324,1.4569912522769293,-0.9558458486017927,-5.69153826685157,2.186461790978305,-4.214836915641986,5.170089103335037,-2.9134059300830537,-2.2975338431709744
162,3.785656337051557,2.9023749041815,3.7102707237902526,-1.5561534356867097,-0.16195484447481237,-3.0743289784506866,-0.10895584188959671,0.3094543214852639,-2.2351153137156676,-2.942681432065534
163,-6.8626763647035505,-3.060889506457974,-5.412652095050853,-0.45131749738227583,1.8931610647728587,-2.5036873514240057,-0.5479797785074132,-1.7426474453302168,-0.9969261624924198,-1.0059299452531179
166,-6.6759048614108565,-0.5792105104863832,3.1465063708626784,4.679224037151735,-3.069922751800194,-0.5046352161920257,-3.361336218092827,-1.7446616894034745,3.7051190589574174,-2.415664442989611
167,14.107683491874814,-5.62876431871459,3.5759396895056463,-8.371017871781216,5.03924767915247,0.8843324061682915,-0.6247082495826678,-0.9333423058328527,1.541720085088203,-0.137605831015741
168,-7.713195011482524,-1.9602848274803597,-1.0145764995727924,3.2354375716103014,-2.2521885534002335,2.9070955493341097,-3.7557522437543653,-0.9475957119729834,0.8223329337982627,-1.2182120145355981
169,-3.5777979061472065,-4.0070217311639915,-3.2518177955726335,1.6249914381071187,2.6251723794649715,0.8102641951614837,-0.3828917157969642,-2.3087551553224666,-1.290774626620533,-0.24321677671003142
170,13.127716358350872,12.978767833358678,3.3271175646753526,0.8584698158080379,2.4482091724208277,6.0316682568919635,-2.6097732413440453,-2.0203574149071426,-0.9566570293212394,-2.6736189137193525
171,-4.494725765229195,-6.1625318832045455,2.8713735832813634,-1.3177000235924385,-2.107488206986386,4.774439677440535,-4.023418434440525,-3.005202099115328,-1.7305151548528415,-2.6716826876715847
172,0.33394598672745784,-4.438876587221748,8.864276157473206,-1.7361365292255353,-3.2083240374154722,3.307022579723964,-5.340591471866582,-5.306307201019453,-0.1679548407110258,-0.7518260657762111
174,1.7759428911070623,2.433474973159607,0.5248458014870694,3.082885338427555,-0.8654269640758511,0.1885927944306481,-2.0464483585372237,-3.171735322215574,-1.9087421276120702,-0.7571963245340366
177,2.780291444335813,-5.254826048816837,3.4214881220970628,-9.19672077525976,0.40420494735889834,-1.2175058315718457,-0.4609126961208991,0.9078808728553807,-0.3089727305876617,-0.8372097463284185
178,-6.1345096626957,1.5031357828454743,-1.6567099731775259,1.3652710033595639,-0.5455129530869517,-1.3056155849386868,0.30734369504293163,-4.170827590876538,-3.784902184912022,-1.220874137708032
179,-5.013617565215574,-1.4919085466751676,-2.098186888084832,-2.1376409077295335,1.6284041191147345,2.6847044897576726,-3.8032257071012867,-0.26485012530455726,-0.8875330966403755,0.0235958299668693
18,-2.712447410441387,7.188109296705855,7.409272773443006,7.636444125259524,-3.857282233887144,2.8434494433632476,2.913411898105296,-6.459741666505246,3.0819802694065426,0.6802271121215132
180,-3.4146476311848795,-0.15437262339150998,2.8256231560050655,0.726398078892183,-0.3647451349195579,-3.3157493347574394,0.06087133173944484,-3.5406473431707686,-3.506369149820145,-1.334678683593022
183,0.739936311368518,-1.755003990648481,6.7494368834837575,2.848697462477769,0.18381631659797493,3.7041436252000652,-2.16912008868617,-3.5097756185113766,1.1412123747715441,0.6868442775013872
184,-7.755883603397584,0.16498528899993656,-7.468988690156758,3.710256804216979,-3.0146198196759637,1.579461975177952,4.637626077235485,-2.8435211934987423,-4.9361911151029325,1.3264905114042524
185,-3.1383126020534964,3.8211472642433364,-0.015542822832467992,-6.990385149953105,-0.7665418301818485,-1.9361711265082373,-2.7104048435407604,1.9996912612398363,-1.3869073747805742,-0.39057373635186965
186,-0.7192733972792769,-6.97470833477681,1.1939677073866395,0.883704082128678,2.8087144805414517,2.013947628816635,3.4792718024001084,-1.6833927434820652,-2.7304659759507017,0.18795285494119918
