feature,group1_mean,group2_mean,group1_std,group2_std,fold_change,statistic,p_value,neg_log10_p,significant,n_group1,n_group2,p_adjusted,significant_adj
LPC(17:0),-0.13435080951886377,0.1330073014236762,0.3695847059373996,0.31606252842623656,-0.26735811094254,-5.481826170281682,1.3147335583208686e-07,6.881162251642224,True,99,100,4.627862125289457e-05,True
TAG54:6-FA22:6,0.18634032685430335,-0.18447692358576032,0.5542329101868919,0.5258359435372495,0.37081725044006364,4.8408559212434366,2.613665330961657e-06,5.582750022808124,True,99,100,0.00038503801561044326,True
TAG48:0-FA16:0,0.21465233626070926,-0.2125058128981033,0.6489224002892082,0.6081218966866044,0.42715814915881256,4.790267635114029,3.2815739966799144e-06,5.483917798328454,True,99,100,0.00038503801561044326,True
TAG50:0-FA18:0,0.18899936638135933,-0.18710937271754471,0.6259232487327271,0.5514349405806056,0.3761087390989041,4.495944469744274,1.191814243028137e-05,4.923791428752176,True,99,100,0.0008091951831723953,True
TAG46:0-FA16:0,0.2037897711348562,-0.2017518734235085,0.6642121907066497,0.6347338418441616,0.4055416445583647,4.402548029452727,1.7552476156767407e-05,4.755661608237249,True,99,100,0.0008091951831723953,True
TAG50:0-FA16:0,0.17992345761339262,-0.17812422303725886,0.6053130533631971,0.5403816907667484,0.3580476806506515,4.400209887857285,1.7824692115434935e-05,4.748977962947203,True,99,100,0.0008091951831723953,True
TAG54:5-FA22:5,0.15628341627908302,-0.15472058211629222,0.5306037114536049,0.4639860007314027,0.31100399839537524,4.399725422154267,1.790572297147541e-05,4.7470081389814,True,99,100,0.0008091951831723953,True
TAG52:2-FA20:2,0.1685815864488765,-0.16689577058438768,0.5655348169832316,0.5140951801851672,0.3354773570332642,4.377369582807263,1.9574371726342296e-05,4.708312168486444,True,99,100,0.0008091951831723953,True
TAG52:4-FA20:4,0.17206801254816906,-0.17034733242268663,0.5569219859065863,0.5528141138108534,0.3424153449708557,4.352547368045528,2.160301031938589e-05,4.665485726904394,True,99,100,0.0008091951831723953,True
TAG52:3-FA20:3,0.16917424357862412,-0.16748250114283764,0.562395389865524,0.5317777085807572,0.3366567447214618,4.338018156642038,2.2988499521943046e-05,4.638489374559635,True,99,100,0.0008091951831723953,True
TAG48:1-FA16:1,0.18769842137338585,-0.18582143715965266,0.6162426740557293,0.6182908714517635,0.3735198585330385,4.268102876478306,3.0616755448076206e-05,4.514040834723877,True,99,100,0.0009377802274196796,True
TAG46:0-FA14:0,0.1997362459966894,-0.19773888353672242,0.6721724915956621,0.6442638065623663,0.3974751295334118,4.257820514376905,3.196978048021635e-05,4.495260345791435,True,99,100,0.0009377802274196796,True
CE(20:0),-0.17539099319627321,0.1736370832643107,0.6455375954703909,0.5156561286517919,-0.3490280764605839,-4.211491742246863,3.9392499885628075e-05,4.404586457574113,True,99,100,0.0010666276892108526,True
TAG50:1-FA16:0,0.1615534306549822,-0.15993789634842895,0.5736198428948546,0.5180093658482537,0.32149132700341115,4.148026361895031,5.007121904544155e-05,4.300411835038805,True,99,100,0.0012589335074282447,True
CE(17:0),-0.10280965674934216,0.10178156018185086,0.3498462073301186,0.3499201051367187,-0.20459121693119303,-4.1243473784161555,5.479851306705811e-05,4.261231225740683,True,99,100,0.0012859384399736302,True
SM(20:1),-0.0851678473123061,0.08431616883918297,0.30916283327889205,0.2822274808678961,-0.16948401615148906,-4.037629230178145,7.755615110954732e-05,4.110383751854311,True,99,100,0.0016152820392782404,True
TAG52:0-FA18:0,0.15565046289767986,-0.15409395826870356,0.5929106867504048,0.48266493269575,0.30974442116638345,4.0391768875832605,7.801078030605137e-05,4.107845378028421,True,99,100,0.0016152820392782404,True
TAG50:1-FA18:1,0.15450935014216508,-0.1529642566407391,0.5718150806894899,0.5063226292816083,0.30747360678290414,4.014419970432605,8.514619352816694e-05,4.069834762459616,True,99,100,0.0016650811178841535,True
TAG52:0-FA16:0,0.15537219413497658,-0.15381847219362713,0.5896528489397842,0.4981465901704108,0.3091906663286037,3.9937897937596185,9.271633734791983e-05,4.0328437330087175,True,99,100,0.001717692144550936,True
TAG54:1-FA18:0,0.14859160386611747,-0.1471056878274567,0.5841597006847032,0.46332758638996563,0.29569729169357417,3.953674438254419,0.00010918078354575095,3.961853793265312,True,99,100,0.0019215817904052169,True
TAG50:2-FA18:2,0.1450579867896698,-0.1436074069217753,0.5608410775315837,0.48376983831436937,0.28866539371144506,3.88617455356119,0.0001400807464645597,3.8536215526429465,True,99,100,0.002348020131215477,True
TAG54:4-FA20:4,0.13731968609144132,-0.13594648923052682,0.5161542393847603,0.48148612685492337,0.2732661753219682,3.8609584172002775,0.00015337881956333207,3.8142346089780697,True,99,100,0.002454061113013313,True
TAG48:0-FA18:0,0.16631526657327847,-0.16465211390754572,0.6330183895953576,0.5941597721656059,0.3309673804808242,3.8019988879781583,0.0001916197619719108,3.7175597036459154,True,99,100,0.0028693796933926224,True
TAG54:0-FA18:0,0.13338715113106742,-0.13205327961975677,0.5819359606417291,0.37905442445269133,0.2654404307508242,3.808549343759148,0.000195639524549497,3.7085434012881953,True,99,100,0.0028693796933926224,True
SM(26:0),-0.09027310651945974,0.08937037545426492,0.352200255052758,0.32226577704019027,-0.17964348197372465,-3.752739962476955,0.0002306410872730324,3.6370633232925624,True,99,100,0.00316383384690762,True
TAG48:1-FA16:0,0.15908343674242173,-0.1574926023749999,0.5977997689740214,0.5935131299328135,0.3165760391174216,3.7485437824699868,0.00023369227278294922,3.63135564765573,True,99,100,0.00316383384690762,True
LPC(18:1),-0.08638346720801017,0.0855196325359301,0.3256829062798662,0.32435004211330865,-0.17190309974394027,-3.730473888583074,0.0002499006203426586,3.602232665798083,True,99,100,0.003257963642985771,True
TAG54:1-FA18:1,0.13189735836600577,-0.13057838478234576,0.5683065791285521,0.4301682018482988,0.26247574314835154,3.6707941243738715,0.00031731884344685714,3.498504137285026,True,99,100,0.003920291631357121,True
CE(22:6),-0.09755768766788105,0.09658211079120192,0.41368275766201185,0.32836272283933327,-0.19413979845908297,-3.6644234308451704,0.000322978571901581,3.49082629009491,True,99,100,0.003920291631357121,True
TAG48:0-FA14:0,0.15462728206989765,-0.15308100924919846,0.6198379513926727,0.5845304348547418,0.3077082913190961,3.6020558849716147,0.0004000973400909228,3.397834335868377,True,99,100,0.004694475457066827,True
TAG52:1-FA18:0,0.13169856097251045,-0.1303815753627871,0.5675979049179198,0.4817868178049971,0.2620801363352976,3.5099104631480835,0.0005589146523802184,3.2526545048688624,True,99,100,0.006346385730252803,True
TAG50:3-FA18:3,0.13727556381868655,-0.13590280818049957,0.5919431605133291,0.5056949238874686,0.27317837199918615,3.4986559966555273,0.000581296217426611,3.23560250304756,True,99,100,0.0063942583916927215,True
CE(20:2),-0.0832561685181074,0.08242360683292786,0.3634256011782041,0.32373139621436187,-0.16567977535103526,-3.394576309360719,0.0008334799894750837,3.079104822428504,True,99,100,0.00874090286406505,True
TAG50:2-FA16:0,0.1260555635010661,-0.12479500786606217,0.5469946014321954,0.49747502240056085,0.25085057136712824,3.3833705245805232,0.000865508691328141,3.0627285666367676,True,99,100,0.00874090286406505,True
TAG46:1-FA16:0,0.1544259992415447,-0.15288173924912973,0.6420270836339587,0.6448171979948049,0.30730773849067444,3.368777016075485,0.0009081931548383924,3.0418217757527324,True,99,100,0.00874090286406505,True
TAG50:1-FA18:0,0.1350528445893237,-0.13370231614343212,0.5782606268236765,0.5483935825895752,0.26875516073275585,3.3633872268763683,0.0009257670525289004,3.0334982795474947,True,99,100,0.00874090286406505,True
TAG56:6-FA22:6,0.12425554961127999,-0.12301299411516703,0.5612517644853242,0.4733981336940921,0.24726854372644702,3.3577827723276648,0.0009483324320524406,3.0230393967353257,True,99,100,0.00874090286406505,True
SM(26:1),-0.07439572662103712,0.07365176935482676,0.33205356323188584,0.28843496252707607,-0.14804749597586386,-3.356335187155528,0.0009514566892989608,3.021610976191015,True,99,100,0.00874090286406505,True
TAG48:1-FA14:0,0.13918638642424766,-0.1377945225600056,0.5888311926153441,0.5798816313287538,0.27698090898425326,3.34297892173492,0.000992026509778473,3.0034767221032053,True,99,100,0.00874090286406505,True
CE(15:0),-0.08556798904032094,0.08471230914991948,0.35595149462358927,0.36267844024428975,-0.17028029819024043,-3.3425780293446596,0.0009932844163710285,3.002926378116471,True,99,100,0.00874090286406505,True
TAG49:0-FA16:0,0.14122694456163903,-0.13981467511602289,0.6455080593465041,0.5372807827712155,0.28104161967766195,3.3363839176499024,0.001020856716227188,2.991035209645389,True,99,100,0.008764428392974881,True
TAG52:2-FA18:0,0.12005317929996681,-0.11885264750696659,0.5531057796761051,0.460576118236268,0.2389058268069334,3.3093813770186595,0.0011185624192415584,2.951339775916216,True,99,100,0.009374618370786394,True
PC(17:0/18:2),-0.07997570543176774,0.07917594837744966,0.3637497902944776,0.32383934355184346,-0.15915165380921742,-3.258716880108458,0.001321542978329744,2.8789187084702683,True,99,100,0.010818212287722557,True
TAG54:2-FA18:2,0.11525579595159798,-0.11410323799208232,0.5638973137226233,0.42469677725191396,0.2293590339436803,3.238580079567994,0.0014276973068680905,2.8453638597107114,True,99,100,0.011421578454944724,True
TAG51:0-FA16:0,0.12772515347747576,-0.12644790194270095,0.6239314145948289,0.4988712804056579,0.2541730554201767,3.171975330644874,0.0017697796068961743,2.7520808135638353,True,99,100,0.013843609369498962,True
CE(18:1),-0.0702552159851008,0.06955266382525753,0.33443670991852065,0.2877960756821403,-0.13980787981035833,-3.1595160751107305,0.0018359923936698895,2.7361291223690016,True,99,100,0.01404933309938698,True
TAG54:2-FA18:0,0.1098886881427276,-0.10878980126130092,0.553528699863878,0.41499314084234407,0.2186784894040285,3.15075067241973,0.0019047765971741916,2.720155953481246,True,99,100,0.014265560897985434,True
TAG48:1-FA18:1,0.12879065577725976,-0.12750274921948557,0.5853772502969871,0.5682500221212753,0.25629340499674536,3.133377516052884,0.001992266253894831,2.700652621298776,True,99,100,0.014609952528562092,True
TAG50:1-FA16:1,0.12320444081214096,-0.12197239640402029,0.5631470160864416,0.5456327201162042,0.24517683721616124,3.118649563514809,0.0020896087786080116,2.679935015896497,True,99,100,0.015011067144286124,True
TAG46:1-FA14:0,0.14060231504868434,-0.13919629189819732,0.6320114797788307,0.641138939877071,0.27979860694688163,3.1002118384575423,0.0022171005411799403,2.6542146120322925,True,99,100,0.015059249095505883,True
TAG56:4-FA20:4,0.1042642070695622,-0.10322156499886624,0.5210586513855872,0.4162930944624893,0.20748577206842844,3.1014887265816387,0.002223628968626037,2.652937676766736,True,99,100,0.015059249095505883,True
TAG54:3-FA20:3,0.11069075895868165,-0.1095838513690949,0.5346121612135306,0.46495413435411287,0.22027461032777657,3.100063438344902,0.0022246617981997326,2.652736002813222,True,99,100,0.015059249095505883,True
TAG52:1-FA16:0,0.1124075248732755,-0.11128344962454008,0.552438805768457,0.4631415237362542,0.22369097449781558,3.0938021987795716,0.0022734021976775253,2.6433237245125776,True,99,100,0.01509882214306583,True
SM(18:1),-0.07111042780959691,0.07039932353149891,0.34896977838118476,0.3023497310360929,-0.14150975134109584,-3.0559643787400512,0.002561795702966436,2.591455507148732,True,99,100,0.016699112730447878,True
TAG54:6-FA16:0,0.10793020766108981,-0.10685090558447734,0.5360601460572617,0.4601137747995981,0.21478111324556715,3.031504105866866,0.0027692579964114445,2.5576365815609234,True,99,100,0.01769906066396232,True
TAG48:2-FA18:2,0.12152258854234305,-0.12030736265691853,0.5745286761515976,0.5527661398478113,0.2418299511992616,3.0253150575293497,0.002815759651084915,2.5504044186571906,True,99,100,0.01769906066396232,True
TAG50:2-FA18:0,0.11435077779848814,-0.11320727002050326,0.5708073302960093,0.5080739061628297,0.22755804781899142,2.969478834755841,0.0033596274746172726,2.473708875790928,True,99,100,0.020747173176583856,True
CE(20:1),-0.11543313626458682,0.1142788049019416,0.6094093123329856,0.48690575900032906,-0.22971194116652843,-2.9358508413739557,0.0037437017498200857,2.4266987575746395,True,99,100,0.02261830159443302,True
TAG53:0-FA16:0,0.10740944824906128,-0.1063353537665706,0.5567590870491224,0.4698410013396679,0.2137448020156319,2.9253707105855007,0.0038573986845444118,2.413705471958562,True,99,100,0.02261830159443302,True
TAG54:5-FA16:0,0.10143054185841258,-0.10041623643982595,0.5241749398026306,0.44733265963293356,0.20184677829823852,2.9205922007114316,0.003912862841206327,2.407505375291561,True,99,100,0.02261830159443302,True
TAG52:5-FA20:4,0.11355137631836189,-0.11241586255517769,0.5328913070390358,0.5589158244827994,0.2259672388735396,2.919101951179492,0.003919648855853449,2.4067528377744143,True,99,100,0.02261830159443302,True
TAG48:2-FA16:0,0.11870481679156221,-0.11751776862364569,0.5767342289148266,0.5708087993615478,0.2362225854152079,2.9037313702319065,0.004108403050563125,2.3863269569810335,True,99,100,0.023325126996745486,True
SM(22:1),-0.056858234488937925,0.056289652144040296,0.28419618946489567,0.26770732761334226,-0.11314788663297823,-2.890316935678608,0.0042822559163525915,2.3683273819414814,True,99,100,0.023697980546702524,True
