,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,231.1580474297936,-15.258122250035344,-21.93789546485544,10.332035137243588,-15.808509369054022,-0.6842410814587148,-3.3880158449038587,-1.6322669688517417,-0.08341729444497525,1.9380644037679193
10,3.96753166627074,4.902600707775061,-4.248865247538305,-2.713966046840268,-1.4359263356918732,1.4062454767437136,0.9514291031150721,-2.8828019616797653,3.455012559981451,-1.2258181780236563
100,-11.337213782347494,-2.0605864614178744,-2.7306106349289903,-1.6517013590453218,-3.300762597398582,0.9922449430004933,-2.984714428031562,-2.5382451523057394,0.16986839129878248,-4.017327646660563
105,24.15093544681568,17.633795179869573,3.7660448050521653,-5.202776475510335,1.2669143783788464,-2.9393466819107488,-4.804591696576576,-6.009798861925532,-1.807593630515489,-4.009873752214462
106,-5.360499780837031,-3.7605861369462246,-3.490295780378552,-1.6991208498660306,1.9078115606768558,-2.6518472119985708,-1.1655345412402824,-4.023526141138826,-2.552508492621405,-3.0437331153777563
110,-2.514335769390576,-0.9192519230201217,3.535251410216006,-1.7692865148083023,-2.218869304170934,3.1283025673445954,0.011651273315138889,-0.39257074521615426,-0.740208342867713,1.7624792849621687
113,22.116230036835525,-12.817012305704562,18.194153331534636,-7.153683927071479,0.8282579514289824,1.7671002614913318,1.2235318311179793,1.4365998265582625,-1.8824356869975991,1.1664946126493285
114,15.575511533080238,-0.6908989129924493,13.088799458298238,-8.488569517835105,1.5369885438026527,-1.0430837207454267,-2.9235233658113575,-5.896916672271804,0.45436958780618564,-0.9513485196001626
115,35.07292776845973,-13.109156566804801,1.6608021632822834,-11.133950231101531,10.370170736207461,0.8500252959535572,8.895864676889769,-4.7063592265528635,-1.4105096084523012,-2.8492998522247737
116,-9.51018497498197,-2.9178036104821374,-8.053250119136768,-6.381501939855916,-0.8422263188973456,3.7361491319500395,-1.566688840200304,-1.9612869181458124,1.5364781337202598,0.49165047535803214
