,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
1,231.15804742979344,-15.25812225313481,-21.937895464405855,10.332035106435125,-15.808510217246756,-0.6842368783653602,-3.3879877982527438,-1.6320631003536836,-0.08307641548800973,1.9380513539432649,Case
10,3.9675316662707663,4.902600714521012,-4.248865248531781,-2.713966000573414,-1.435924345478828,1.4062372472531743,0.9513802447134064,-2.883275648249221,3.454334052686403,-1.227767045752831,Case
100,-11.337213782347495,-2.0605864649064536,-2.7306106345772014,-1.6517013979509905,-3.300763348142878,0.9922473363860308,-2.984674403684565,-2.5380009363670966,0.17017984086286736,-4.017552817367012,Case
105,24.150935446815748,17.633795180723368,3.7660448042343915,-5.202776437336274,1.2669141673670299,-2.939344735631075,-4.8046231128876,-6.0098687163304305,-1.80755026956682,-4.009187270290036,Case
106,-5.360499780837044,-3.760586137013571,-3.4902957807088204,-1.6991208400514546,1.9078112612798057,-2.6518507243799436,-1.1655550417833223,-4.023562720120499,-2.552536228286304,-3.042801292005899,Case
110,-2.5143357693905846,-0.9192519258655586,3.535251409701198,-1.7692865096991839,-2.21887050410716,3.1283057305215767,0.011650235525257322,-0.3924002142463689,-0.7398801745413063,1.763954307819346,Case
113,22.116230036835443,-12.81701231248547,18.194153331887016,-7.1536839282449405,0.8282554429603323,1.7671138609087689,1.2235628897160882,1.4370166303066088,-1.8816829106957167,1.169892609111579,Case
114,15.575511533080201,-0.6908989102458615,13.088799456083205,-8.488569455145226,1.5369884457180156,-1.0430897097754528,-2.923602240921467,-5.897192081812784,0.45407962131847135,-0.9483242744865452,Case
115,35.07292776845963,-13.109156564354182,1.6608021633979833,-11.133950231132866,10.37017054677078,0.8500183788620282,8.895799568168188,-4.706549967820575,-1.410685642265342,-2.8460585885106346,Case
116,-9.510184974981971,-2.917803610044234,-8.053250118798715,-6.381501996976091,-0.8422253875344737,3.736146772758567,-1.5666440795308076,-1.9613019787279513,1.5363286077643066,0.4886721632504637,Case
118,-8.673343210257425,-1.3624351902733094,-3.127668997338958,-1.080190501140655,0.11245993237812749,1.3256963001453923,1.1689632386435833,1.2280563711936845,-0.4712899272449043,1.0567958574197243,Case
120,-12.066000612747867,-0.7382442445122857,-4.847588340437129,2.674397637770771,-1.7219415177684494,-0.5921633337125823,0.8901802978473018,-3.402736795446484,-2.1792684174800323,0.5134191734394647,Case
122,-2.0559969573974124,-1.1130957168905307,0.8730884412148577,-0.6370562246007397,1.311276178879196,3.0185838766747235,-1.5393468473196374,-1.745764898284687,-1.1920061969135232,-0.5632564888047781,Case
126,9.801337163529036,5.995068029614019,0.5983551337151556,3.192789236943574,6.055767464041973,0.5406528171404363,-1.0810533782657594,1.528924566069973,-7.769361639619761,2.532928952006439,Case
131,-7.57849108197316,2.299178452414793,-6.2378374194594555,-4.0806832197956595,-1.508908271534313,3.256766959480744,1.3032135776885239,-0.05884350167981602,1.858010933511265,0.5908214394702314,Case
132,-4.129304217740281,-7.438629221992085,-3.573672110310879,-1.1246752497694843,2.499794066664118,-2.23537419770838,1.9571815567652597,0.7266979391454043,-2.201985157755617,-3.26828631684518,Case
134,-9.279481202081955,-0.6578002017648611,-3.7743247896773737,-0.5821600509771959,-2.05701737854523,4.7594484070273415,-1.4653093063104081,-0.3570235453857585,1.5076700672882448,0.28960493657446984,Case
138,-9.857931248696833,-2.048186930260179,-6.148702825455519,-1.63875483471586,-1.1328329501389998,-1.7332636450690888,-2.3235838751414377,1.8664230398977995,2.2277965172576177,-4.262506316834098,Case
139,28.46245533003488,26.193038954757945,7.790859065908809,-9.410904816729339,-19.880130981046342,-12.179716475002486,18.484451195377115,-0.7620004872882783,4.696061700112598,-3.580292216947542,Case
141,-8.332477962416538,-0.15720192388171852,0.27600608433156965,0.2753203390589032,-3.269533969647731,2.9327187389338625,-1.8538759665612319,-2.0196636633393887,-0.41466252831799133,-2.606407258857777,Case
142,17.301441482493242,1.820638794176249,1.6222950237824627,-3.311040592967857,0.46525863756489716,2.3578729626524333,8.570609154199289,3.1854919181011017,-1.9713820743666044,-5.662802513319693,Case
144,3.945860941588359,3.547611856535306,0.5523901878478478,1.660850207158456,3.0221508778229706,5.462964243410483,2.831021161607916,3.305585968625557,-0.55181116930388,-0.5487912882238255,Case
145,-0.7098287593009006,6.358669156745776,0.3179151441496003,-5.4426458795925,-3.059141453356715,1.741843380120254,2.4984855798208994,-3.928800635103712,0.13604678943946982,-0.4542016532961897,Case
148,-7.492746676465355,-1.6798522128764626,-1.3309779802234376,0.30253293635469924,-2.284722488519572,3.233317232363503,0.7477933939081187,1.7666736247770536,-1.7209402153908617,-0.9936367196961058,Case
15,12.315879090648256,7.988728394936973,3.0010539714269284,6.709410133450887,3.8428673026395077,0.2921139685460287,4.244391546459311,-1.8940132317520968,2.8797845543722187,-1.756573710833206,Case
152,2.646881519074919,-1.7592930182581445,2.952235715466849,-4.174952867300867,-0.23085401216786297,2.0720706065185612,0.13239207519399138,-2.9666519660642043,0.45617109350910046,-1.920009676135881,Case
153,-3.869336934581846,3.427069013183736,-2.7817742892805044,-0.5706580015564158,-2.4421132906695586,10.079881529571201,2.303422880569338,-0.4344056021560815,-0.35532635309452365,-0.34734530406711134,Case
155,-10.92157855378088,-1.3456830336192303,-7.717082388868228,-2.7716263531412424,-1.0854874198383735,2.082749376069382,0.11369148497865039,-1.7074393875193725,-0.9489089651136957,-2.7250303449145408,Case
157,-1.5039354429707144,-5.4578437109654425,-4.789551449509005,-3.9456617927288566,1.8293931170747972,2.828464088502368,1.8145671453522734,1.0711578780065212,-2.386262943560117,-2.457081861797637,Case
161,-7.745279645049015,-4.774517359045166,1.4569912498166446,-0.9558457740822124,-5.691536737540137,2.186454138089143,-4.214889593082532,5.169741570613779,-2.9139948773352238,-2.2973217761800964,Case
162,3.7856563370515186,2.9023749018121214,3.7102707250802442,-1.556153502367135,-0.16195523923103244,-3.07432064972713,-0.10897100192955635,0.3095395063780072,-2.234841269213684,-2.940627997131393,Case
163,-6.862676364703506,-3.0608895056977086,-5.41265209588654,-0.451317473992896,1.8931613992826974,-2.50368810705506,-0.5479978182799762,-1.7427037552366595,-0.9969808854801279,-1.0055358578256077,Case
166,-6.675904861410847,-0.5792105131128186,3.146506371636644,4.679223996592137,-3.069923662006121,-0.5046318199512588,-3.361325815603567,-1.744531193577151,3.7053217332057486,-2.4156056262685426,Case
167,14.107683491874873,-5.62876431779269,3.5759396899517597,-8.37101783650044,5.039247805438649,0.8843285920227478,-0.6247274444849331,-0.9334085113510048,1.5418077429263004,-0.1376265328231186,Case
168,-7.713195011482498,-1.9602848246748759,-1.0145764995747364,3.235437610543349,-2.2521882424366355,2.90708824795338,-3.7557887706300193,-0.9478167643667693,0.8220896330413362,-1.2177953909207941,Case
169,-3.5777979061471554,-4.007021725119917,-3.251817796709428,1.6249915423742938,2.6251737971765166,0.8102519687032023,-0.3829541037223442,-2.309138666265764,-1.2911598141110032,-0.24267293015901756,Case
170,13.127716358350701,12.97876782927485,3.327117565616846,0.8584697771094506,2.4482086727525836,6.031678762756082,-2.6097392418985015,-2.0200592625011247,-0.9561751389847105,-2.6737865373605367,Case
171,-4.494725765229122,-6.162531886829756,2.8713735843663626,-1.317700070123517,-2.107489036772066,4.774448340894741,-4.0233820720705475,-3.0049840755238346,-1.7303459028420283,-2.6719333265244942,Case
172,0.3339459867275087,-4.438876579993725,8.864276154581253,-1.7361363680847726,-3.2083232252388165,3.306996627225689,-5.34056130837457,-5.306646820741056,-0.16883945377641466,-0.7564897260249837,Case
174,1.775942891107032,2.433474977315151,0.5248458004063047,3.0828854507019035,-0.8654268757071716,0.1885737244468216,-2.046458656166992,-3.1719784983063932,-1.9090999921561316,-0.7598970868970201,Case
177,2.7802914443358766,-5.2548260451872135,3.4214881216546735,-9.196720714056056,0.404205593078717,-1.2175150778849795,-0.46092993061261295,0.9076630947918722,-0.3093154443232437,-0.8381697690507924,Case
178,-6.134509662695718,1.503135784955084,-1.656709974340935,1.3652710647862079,-0.5455127818450526,-1.3056233919886948,0.30734072475949525,-4.170930956647263,-3.785114310537205,-1.2222134682970405,Case
179,-5.013617565215554,-1.4919085442339675,-2.0981868889993085,-2.137640879941811,1.628404382790665,2.6846991802743445,-3.803250965747545,-0.26502812865658204,-0.887839122353842,0.02366363116703298,Case
18,-2.7124474104414804,7.188109289725668,7.409272773937831,7.63644399218349,-3.85728305996768,2.8434757600443374,2.9134375558322154,-6.459348633964292,3.082353533134245,0.6827612733944294,Case
180,-3.4146476311848795,-0.15437262478777522,2.8256231562569285,0.72639807274157,-0.3647453849635281,-3.315746843438917,0.06088382194342349,-3.540534542995543,-3.5061427239769247,-1.3346008991944218,Case
183,0.7399363113685365,-1.755003991734228,6.749436883384094,2.848697464007405,0.18381592034548971,3.704141412156058,-2.1690780957688887,-3.5096413418228813,1.1413215728066173,0.6850749619080614,Case
184,-7.755883603397581,0.1649852882688531,-7.468988688054036,3.710256746942254,-3.014620879771316,1.5794588731910373,4.637636668412515,-2.8435801814050112,-4.936422148626544,1.3256901376974688,Case
185,-3.1383126020535435,3.8211472643170388,-0.015542823014108904,-6.990385157541262,-0.7665416290645596,-1.9361710432930301,-2.7104227039789137,1.9996742031449435,-1.3867981288258298,-0.39006651151920824,Case
186,-0.7192733972791914,-6.974708338652303,1.1939677074840656,0.8837040583865116,2.808713653985442,2.013954896062121,3.4792975326252793,-1.6831329416149472,-2.7300881543677686,0.18753793593013443,Case
187,7.9690213378216095,4.293534692347412,13.797741811635671,-3.564246299991649,-6.374980869943636,-2.2990918703482945,-1.8540047977665082,-2.74550150551794,-0.132240677401545,-0.6541388547771685,Case
188,11.431643130123806,-2.4775368270407756,14.23804799439921,-8.945892857326276,-0.03849725943143417,-2.498129948871613,-2.771985585197483,-2.3755318722258165,-1.2977566265526388,2.8068537537858202,Case
189,-0.49878127487137297,1.2161850519927762,2.231940813486582,-6.80407851242015,-4.547807778559589,1.709958062984458,6.425717292437272,3.354245760780811,2.7369599973569465,2.560740540788216,Case
19,-1.2130539371913613,0.22337224715780613,5.514109587894814,6.208036634258835,0.8554249366869443,-0.2743462221566275,-2.000071731133563,-3.7466473931672293,1.416555967788255,0.479163418744905,Case
190,-6.92496573489412,-4.406654514806814,4.430950804752944,1.2790006679316108,-5.138782819012953,4.802578893131172,-0.8130349369911357,-1.9839640539725547,-2.5611525473462904,1.078728321731413,Case
191,-9.701569072349871,-0.4900701240061905,-4.0501854764916585,-4.449135477469557,-1.9032272113513753,-1.5687916302339608,-1.5120003397195274,-1.9766614457404992,-1.1976719291135205,-0.2583346219174839,Case
192,-4.6759666496439,-7.188064481227463,-2.3411342294604203,-14.237425843690337,-2.698640580055926,-2.9995748277284195,-3.123415821493651,0.3794039814745775,0.3177165264857857,1.8667809604327072,Case
194,-6.877568023798177,-1.3184384983387276,0.41234273029133844,-4.334041056499631,-2.579531668253884,-1.9176718904220231,1.003540257183497,-1.0345319956883958,-1.4711554497736739,1.0874578390999798,Case
195,2.5866523906656935,-4.332075601786695,9.694620868892715,-2.1333237086619414,-1.097265073030294,-1.7459632732869,-1.1469601811657153,5.237812105460631,-2.496361024879057,4.148903169714805,Case
196,-8.419379823022963,-3.187529847680108,-4.8187170539768065,-2.7264944874086394,0.44910240919144406,0.6894248879805642,2.4445465755324793,-1.586875024128468,-1.6600723785292757,0.6828797041737873,Case
197,-10.28683734251345,2.5602849533503083,-10.853636846486667,-5.961318845911995,0.9668112909102375,-0.4969463352438805,1.8111649530677518,-0.48989053594649595,0.3036088602069494,1.450394537588865,Case
198,-9.903821862875477,-0.22450426880004845,-7.3268221878847815,-2.6738355268907377,2.171358779506369,-3.0366183369843105,1.8281620648398775,-0.05055379655819052,-2.0942555965261715,0.9593108157787609,Case
199,-0.8997441321494469,-0.8829709125895339,3.4181843038835895,0.38933321844201274,1.4146885976204422,-1.0997617592229287,0.7533806862330771,-2.526924370901208,-3.7413863735942785,0.5197764511902911,Case
